utterance_id,rel_path,speaker_id,dialect_group,duration_sec,score,transcript
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0007,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0007.wav,librispeech_295,standard,5.41,-0.37,только о том и думает всю жизнь прошептал я как бы мне делать неприятности
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0008,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0008.wav,librispeech_295,standard,8.16,-0.42,он очень хорошо видит что разбудил и испугал меня но выказывает как будто не замечает противный человек
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0018,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0018.wav,librispeech_295,standard,2.73,-0.1,не видел ли я чего дурного во сне
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0022,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0022.wav,librispeech_295,standard,4.79,-0.07,все это я выдумал потому что решительно не помнил что мне снилось в эту ночь
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0029,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0029.wav,librispeech_295,standard,3.56,-0.36,послышался из классной голос карла иваныча
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0031,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0031.wav,librispeech_295,standard,4.04,-0.46,в классной карл иваныч был совсем другой человек он был наставник
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0047,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0047.wav,librispeech_295,standard,8.06,-0.41,как теперь вижу я перед собой длинную фигуру в ваточном халате и в красной шапочке из под которой виднеются редкие седые волосы
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0057,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0057.wav,librispeech_295,standard,1.96,-0.23,правду он говорит что он сирота
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0058,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0058.wav,librispeech_295,standard,2.4,-0.14,и история его жизни какая ужасная
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0074,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-01-Karl-Ivanych_0074.wav,librispeech_295,standard,5.28,-0.05,через аллею виден луг с одной стороны которого гумно а напротив лес
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0002,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0002.wav,librispeech_295,standard,4.8,-0.1,но хотя она смотрела пристально она не замечала этого не замечала и того что мы вошли
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0023,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0023.wav,librispeech_295,standard,9.47,-0.07,мне кажется что в одной улыбке состоит то что называют красотою лица если улыбка прибавляет прелести лицу то лицо прекрасно
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0025,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-02-Maman_0025.wav,librispeech_295,standard,2.46,-0.06,если она портит его то оно дурно
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0002,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0002.wav,librispeech_295,standard,8.39,-0.18,но когда яков сам начинал говорить пальцы приходили в сильнейшее беспокойство и отчаянно прыгали в разные стороны
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0004,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0004.wav,librispeech_295,standard,11.27,-0.46,лицо же его всегда было спокойно выражало сознание своего достоинства и вместе с тем подвластности то есть я прав а впрочем воля ваша
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0009,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0009.wav,librispeech_295,standard,8.04,-0.42,яков подвинул счеты кинул восемьсот и устремил взоры на неопределенную точку ожидая что будет дальше
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0012,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0012.wav,librispeech_295,standard,3.58,-0.19,залогов из казны ты должен получить обратно восемь тысяч
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0015,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0015.wav,librispeech_295,standard,1.83,-0.31,так точно с сказал яков
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0019,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0019.wav,librispeech_295,standard,9.14,-0.48,яков смешал счеты и перевернул их показывая должно быть этим что и деньги двадцать одна тысяча пропадут так же
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0020,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0020.wav,librispeech_295,standard,3.48,-0.5,этот же конверт с деньгами ты передаешь от меня по адресу
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0021,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0021.wav,librispeech_295,standard,3.91,-0.06,я близко стоял от стола и взглянул на надпись
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0026,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0026.wav,librispeech_295,standard,4.36,-0.14,оставить в конторе и отнюдь никуда не употреблять без моего приказания
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0034,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0034.wav,librispeech_295,standard,4.41,-0.5,спросил папа делая головою знак что не хочет говорить с мельником
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0039,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0039.wav,librispeech_295,standard,5.56,-0.45,насчет сена изволили говорить положим что и продастся на три тысячи
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0043,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0043.wav,librispeech_295,standard,2.9,-0.08,должно быть поэтому папа перебил его
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0046,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0046.wav,librispeech_295,standard,3.31,-0.35,яков был крепостной весьма усердный и преданный человек
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0049,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0049.wav,librispeech_295,standard,4.04,-0.35,в настоящую минуту он торжествовал потому что совершенно успел в этом
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0056,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0056.wav,librispeech_295,standard,3.67,-0.26,так вот что предвещал мне мой сон подумал я
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0059,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0059.wav,librispeech_295,standard,5.43,-0.1,ежели мы нынче едем то верно классов не будет это славно думал я
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0060,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0060.wav,librispeech_295,standard,1.84,-0.28,однако жалко карла иваныча
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0063,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0063.wav,librispeech_295,standard,4.39,-0.09,он и так очень несчастлив мысли эти мелькали в моей голове
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0066,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-03-Papa_0066.wav,librispeech_295,standard,2.3,-0.19,по дороге наверх я забежал на террасу
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0002,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0002.wav,librispeech_295,standard,4.22,-0.05,я же так был расстроен что решительно ничего не мог делать
